id,n_eventos,veredito_composto,infimo_componentes,prop2_ok,status_gate,diag
368,7,BOT,BOT,OK,erro_classificacao,timeout_cls
369,5,BOT,BOT,OK,erro_classificacao,timeout_cls
370,2,BOT,BOT,OK,erro_decisao,leave_ab_silent
371,3,BOT,BOT,OK,erro_classificacao,timeout_cls
372,4,BOT,BOT,OK,erro_classificacao,timeout_cls
373,6,TOP,TOP,OK,liberado_integracao,-
374,5,BOT,BOT,OK,erro_classificacao,timeout_cls
375,10,BOT,BOT,OK,erro_decisao,leave_ab_silent
376,8,BOT,BOT,OK,erro_classificacao,timeout_cls
377,4,TOP,TOP,OK,liberado_integracao,-
378,8,BOT,BOT,OK,erro_decisao,leave_ab_silent
379,9,TOP,TOP,OK,divergencia_pcp,mismatch
380,3,TOP,TOP,OK,liberado_integracao,-
381,8,BOT,BOT,OK,erro_classificacao,timeout_cls
382,8,BOT,BOT,OK,erro_classificacao,timeout_cls
383,3,TOP,TOP,OK,divergencia_pcp,mismatch
384,5,TOP,TOP,OK,liberado_integracao,-
385,10,TOP,TOP,OK,liberado_integracao,-
386,5,BOT,BOT,OK,erro_classificacao,timeout_cls
387,7,BOT,BOT,OK,erro_classificacao,timeout_cls
388,7,BOT,BOT,OK,erro_classificacao,timeout_cls
389,11,TOP,TOP,OK,divergencia_pcp,mismatch
390,6,BOT,BOT,OK,erro_classificacao,timeout_cls
391,3,TOP,TOP,OK,liberado_integracao,-
392,7,TOP,TOP,OK,liberado_integracao,-
393,3,BOT,BOT,OK,erro_classificacao,timeout_cls
394,10,TOP,TOP,OK,liberado_integracao,-
395,8,BOT,BOT,OK,erro_classificacao,timeout_cls
396,9,TOP,TOP,OK,liberado_integracao,-
397,3,TOP,TOP,OK,liberado_integracao,-
398,10,TOP,TOP,OK,liberado_integracao,-
399,3,TOP,TOP,OK,liberado_integracao,-
400,3,TOP,TOP,OK,liberado_integracao,-
